Patient ID,Visit#,Date of Test,Organism,Organism Group,Ampicillin,Ampicillin_RSI,Amoxi/Clav,Amoxi/Clav_RSI,Oxacillin,Penicillin,Piper/Tazob,Cefazolin,Cefazolin_RSI,Cefovecin,Cefovecin_RSI,Cefpodoxime,Cefpodoxime_RSI,Ceftazadime,Cephalexin,Cephalothin,Amikacin,Amikacin_RSI,Gentamicin,Gentamicin_RSI,Chloramphenicol,Chloramphenicol_RSI,Doxycycline,Doxycycline_RSI,Minocycline,Minocycline_RSI,Tetracycline,Tetracycline_RSI,Enrofloxacin,Marbofloxacin,Orbifloxacin,Orbifloxacin_RSI,Pradofloxacin,Pradofloxacin_RSI,Trim/Sulfa,Trim/Sulfa_RSI,Clindamycin,Erythromycin,Nitrofurantoin,Nitrofurantoin_RSI,Vancomycin,Rifampin,Imipenem,Imipenem_RSI
315568,5977BO,39961,Escherichia coli,E. Coli,>256,R,16,R,,,,,,,,,,,<=4,,,,,,<=16,Invalid,,,,,32,R,<=1,,,,,,<=4,R,,,,,,,,
398609,6053BO,39961,Escherichia coli,E. Coli,<=2,S,4,S,,,,,,,,,,,<=4,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
379220,6005BO,39961,Enterococcus faecalis,Enterococci,<=2,,<=2,,,,,,,,,,,,64,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
395833,6257BO,39965,Escherichia coli,E. Coli,256,R,8,S,,,,,,,,,,,<=4,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
366017,343384M,39969,Proteus mirabilis,Proteus,<=2,,<=2,,,,,,,,,,,,8,,,,,,<=16,,,,,,64,,<=1,,,,,,<=4,,,,,,,,,
392461,51148EM,39970,E. coli hemolytic,E. Coli,<=2,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
310367,51175EM,39971,Klebsiella aerogenes,Klebsiella,8,,32,,,,,,,,,,,,16,,,,,,<=16,,,,,,4,,<=1,,,,,,<=4,,,,,,,,,
377719,6929BO,39972,Proteus mirabilis,Proteus,<=2,,<=2,,,,,,,,,,,,8,,,,,,<=16,,,,,,32,,32,,,,,,>32,,,,,,,,,
394055,7194BO,39974,E. coli hemolytic,E. Coli,4,S,8,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
373680,51313EM,39982,E. coli hemolytic,E. Coli,<=2,S,4,S,,,,,,,,,,,<=4,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
396456,8008BO,39982,Escherichia coli haemolytic,E. Coli,>256,R,64,R,,,,,,,,,,,>512,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
381528,51358EM,39985,Corynebacterium species,Corynebacterium,<=2,,<=2,,,,,,,,,,,,<=4,,,,,,<=16,,,,,,4,,<=1,,,,,,<=4,,,,,,,,,
399091,8218BO,39986,Klebsiella pneumoniae,Klebsiella,32,,<=2,,,,,,,,,,,,<=4,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
368923,8295BO,39986,E. coli hemolytic,E. Coli,<=2,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
397842,8420BO,39987,Gram positive rod catalase,Staphylococcus,<=2,,<=2,,,,,,,,,,,,64,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
398920,8343BO,39988,Klebsiella aerogenes,Klebsiella,4,,64,,,,,,,,,,,,8,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
399252,51415EM,39988,E. coli hemolytic,E. Coli,4,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
392721,8553BO,39988,E. coli hemolytic,E. Coli,<=2,S,4,S,,,,,,,,,,,<=4,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
387062,51406EM,39988,E. coli non-hemolytic,E. Coli,4,S,8,S,,,,,,,,,,,<=4,,,,,,<=16,Invalid,,,,,<=2,S,>32,,,,,,<=4,R,,,,,,,,
399215,8708BO,39989,Escherichia coli,E. Coli,>256,R,16,R,,,,,,,,,,,16,,,,,,32,R,,,,,128,R,>32,,,,,,>32,R,,,,,,,,
343444,8670BO,39989,Enterococcus faecalis,Enterococci,<=2,,<=2,,,,,,,,,,,,64,,,,,,<=16,,,,,,32,,<=1,,,,,,<=4,,,,,,,,,
399059,8491BO,39989,E. coli hemolytic,E. Coli,<=2,S,<=2,S,,,,,,,,,,,<=4,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
398192,8793BO,39990,E. coli hemolytic,E. Coli,<=2,S,4,S,,,,,,,,,,,<=4,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
381966,344507M,39991,Proteus mirabilis,Proteus,<=2,,<=2,,,,,,,,,,,,8,,,,,,<=16,,,,,,32,,<=1,,,,,,<=4,,,,,,,,,
330325,9051BO,39993,Klebsiella pneumoniae,Klebsiella,256,,64,,,,,,,,,,,,>512,,,,,,>128,,,,,,4,,>32,,,,,,16,,,,,,,,,
399174,9036BO,39993,Escherichia coli haemolytic,E. Coli,8,S,8,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
396500,9146BO,39994,Escherichia coli,E. Coli,4,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
371148,9657BO,40000,Coagulase Negative Staph Group,Staphylococcus,<=2,,<=2,,,,,,,,,,,,<=4,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
399248,9575BO,40000,Enterococcus faecalis,Enterococci,<=2,,<=2,,,,,,,,,,,,128,,,,,,<=16,,,,,,64,,<=1,,,,,,<=4,,,,,,,,,
399452,51567EM,40001,Enterococcus faecalis,Enterococci,<=2,,<=2,,,,,,,,,,,,128,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
399227,9598BO,40001,Escherichia coli,E. Coli,4,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
399139,9862BO,40002,Pseudomonas aeruginosa,Pseudomonas,>256,,>256,,,,,,,,,,,,>512,,,,,,>128,,,,,,16,,>32,,,,,,>32,,,,,,,,,
399783,51709EM,40006,Proteus mirabilis,Proteus,<=2,,<=2,,,,,,,,,,,,8,,,,,,<=16,,,,,,32,,<=1,,,,,,<=4,,,,,,,,,
399115,51679EM,40006,E. coli hemolytic,E. Coli,8,S,16,R,,,,,,,,,,,16,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
399671,269BP,40007,Proteus mirabilis,Proteus,<=2,,<=2,,,,,,,,,,,,8,,,,,,<=16,,,,,,64,,<=1,,,,,,<=4,,,,,,,,,
399494,263BP,40007,Escherichia coli,E. Coli,8,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,256,R,>32,,,,,,>32,R,,,,,,,,
392273,592BP,40009,Klebsiella pneumoniae,Klebsiella,16,,<=2,,,,,,,,,,,,<=4,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
398799,598BP,40009,E. coli hemolytic,E. Coli,<=2,S,4,S,,,,,,,,,,,<=4,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
306825,1034BP,40015,Escherichia coli,E. Coli,<=2,S,<=2,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
394643,1277BP,40017,E. coli non-hemolytic,E. Coli,>256,R,16,R,,,,,,,,,,,256,,,,,,<=16,Invalid,,,,,64,R,32,,,,,,>32,R,,,,,,,,
391402,51866EM,40019,E. coli non-hemolytic,E. Coli,>256,R,64,R,,,,,,,,,,,>512,,,,,,32,R,,,,,256,R,>32,,,,,,>32,R,,,,,,,,
392681,1648BP,40021,Proteus mirabilis,Proteus,<=2,,<=2,,,,,,,,,,,,8,,,,,,<=16,,,,,,32,,<=1,,,,,,<=4,,,,,,,,,
399574,1796BP,40023,Enterococcus faecalis,Enterococci,<=2,,<=2,,,,,,,,,,,,128,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
368094,1655BP,40023,E. coli hemolytic,E. Coli,<=2,S,4,S,,,,,,,,,,,<=4,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
394711,51938EM,40024,Escherichia coli,E. Coli,4,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,4,S,<=1,,,,,,<=4,R,,,,,,,,
386712,51959EM,40026,E. coli hemolytic,E. Coli,4,S,8,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
390920,2201BP,40029,Enterobacter species,Enterobacteriaceae,128,,64,,,,,,,,,,,,>512,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
366828,2294BP,40029,E. coli hemolytic,E. Coli,4,S,8,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
400110,2331BP,40029,Escherichia coli,E. Coli,>256,R,16,R,,,,,,,,,,,>512,,,,,,<=16,Invalid,,,,,256,R,32,,,,,,>32,R,,,,,,,,
396477,2833BP,40035,Citrobacter freundii,Citrobacter,>256,,64,,,,,,,,,,,,>512,,,,,,>128,,,,,,256,,4,,,,,,>32,,,,,,,,,
400164,2884BP,40035,E. coli non-hemolytic,E. Coli,8,S,8,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
341149,3084BP,40036,Pseudomonas aeruginosa,Pseudomonas,16,,64,,,,,,,,,,,,>512,,,,,,32,,,,,,16,,<=1,,,,,,32,,,,,,,,,
306239,3230BP,40037,E. coli hemolytic,E. Coli,4,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
381692,346953M,40038,Staph. pseudintermedius,Staphylococcus,<=2,,<=2,,,,,,,,,,,,<=4,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
399972,3955BP,40045,E. coli hemolytic,E. Coli,4,S,8,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
388590,4225BP,40049,E. coli non-hemolytic,E. Coli,4,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
375200,4181BP,40049,Proteus mirabilis,Proteus,<=2,,<=2,,,,,,,,,,,,8,,,,,,<=16,,,,,,32,,<=1,,,,,,<=4,,,,,,,,,
400500,4877BP,40056,E. coli non-hemolytic,E. Coli,8,S,8,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
390981,5004BP,40057,E. coli hemolytic,E. Coli,<=2,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
400706,5196BP,40058,Staph. pseudintermedius,Staphylococcus,<=2,,<=2,,,,,,,,,,,,<=4,,,,,,<=16,,,,,,32,,<=1,,,,,,<=4,,,,,,,,,
400319,5319BP,40059,Coagulase Positive Staph Group,Staphylococcus,<=2,,<=2,,,,,,,,,,,,<=4,,,,,,<=16,,,,,,32,,<=1,,,,,,<=4,,,,,,,,,
400771,5324BP,40059,Streptococcus canis,Streptococcus,<=2,,<=2,,,,,,,,,,,,<=4,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
397333,5614BP,40065,E. coli hemolytic,E. Coli,<=2,S,4,S,,,,,,,,,,,<=4,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
400725,5814BP,40066,Proteus mirabilis,Proteus,<=2,,<=2,,,,,,,,,,,,8,,,,,,<=16,,,,,,64,,<=1,,,,,,<=4,,,,,,,,,
349190,5902BP,40067,Escherichia coli,E. Coli,>256,R,8,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,64,R,>32,,,,,,>32,R,,,,,,,,
400763,5797BP,40067,Enterococcus faecium,Enterococci,128,,64,,,,,,,,,,,,>512,,,,,,<=16,,,,,,<=2,,>32,,,,,,32,,,,,,,,,
354577,6085BP,40070,Enterococcus faecalis,Enterococci,<=2,,<=2,,,,,,,,,,,,128,,,,,,<=16,,,,,,64,,<=1,,,,,,<=4,,,,,,,,,
381174,6543BP,40074,E. coli hemolytic,E. Coli,4,S,4,S,,,,,,,,,,,<=4,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
377175,6607BP,40077,E. coli non-hemolytic,E. Coli,8,S,8,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
401031,6642BP,40077,Klebsiella oxytoca,Klebsiella,4,,<=2,,,,,,,,,,,,<=4,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
397929,6591BP,40077,Staph. pseudintermedius,Staphylococcus,<=2,,<=2,,,,,,,,,,,,<=4,,,,,,<=16,,,,,,<=2,,8,,,,,,<=4,,,,,,,,,
326573,6951BP,40079,Enterobacter cloacae,Enterobacteriaceae,16,,64,,,,,,,,,,,,64,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
400565,7153BP,40081,Enterococcus durans,Enterococci,<=2,,<=2,,,,,,,,,,,,32,,,,,,<=16,,,,,,<=2,,0,,,,,,<=4,,,,,,,,,
357459,52715EM,40083,Proteus mirabilis,Proteus,<=2,,<=2,,,,,,,,,,,,8,,,,,,<=16,,,,,,32,,<=1,,,,,,<=4,,,,,,,,,
401058,52687EM,40084,Staph. pseudintermedius,Staphylococcus,<=2,,<=2,,,,,,,,,,,,<=4,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
374615,7443BP,40085,Escherichia coli,E. Coli,>256,R,16,R,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,>32,R,,,,,,,,
401823,7653BP,40086,Enterococcus faecalis,Enterococci,<=2,,<=2,,,,,,,,,,,,64,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
401186,7623BP,40087,E. coli hemolytic,E. Coli,<=2,S,<=2,S,,,,,,,,,,,<=4,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
401900,7966BP,40091,Staph. pseudintermedius,Staphylococcus,<=2,,<=2,,,,,,,,,,,,<=4,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
400951,8172BP,40092,Enterococcus species,Enterococci,<=2,,<=2,,,,,,,,,,,,64,,,,,,<=16,,,,,,128,,<=1,,,,,,<=4,,,,,,,,,
393951,8194BP,40093,Enterobacter species,Enterobacteriaceae,256,,64,,,,,,,,,,,,512,,,,,,<=16,,,,,,4,,<=1,,,,,,<=4,,,,,,,,,
402042,8228BP,40093,Proteus mirabilis,Proteus,<=2,,<=2,,,,,,,,,,,,8,,,,,,<=16,,,,,,32,,<=1,,,,,,<=4,,,,,,,,,
401903,8323BP,40095,Staph. pseudintermedius,Staphylococcus,<=2,,<=2,,,,,,,,,,,,<=4,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
294793,8543BP,40095,E. coli non-hemolytic,E. Coli,>256,R,8,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,32,,,,,,>32,R,,,,,,,,
401865,8645BP,40098,Enterococcus faecalis,Enterococci,<=2,,<=2,,,,,,,,,,,,128,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
400865,8858BP,40100,Enterococcus faecium,Enterococci,64,,32,,,,,,,,,,,,>512,,,,,,<=16,,,,,,64,,4,,,,,,<=4,,,,,,,,,
397424,9257BP,40105,Staph. pseudintermedius,Staphylococcus,16,,8,,,,,,,,,,,,64,,,,,,<=16,,,,,,<=2,,8,,,,,,8,,,,,,,,,
329509,9331BP,40106,E. coli non-hemolytic,E. Coli,8,S,8,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
290267,9754BP,40109,E. coli non-hemolytic,E. Coli,<=2,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
347935,59BQ,40114,Staph. pseudintermedius,Staphylococcus,<=2,,<=2,,,,,,,,,,,,<=4,,,,,,<=16,,,,,,64,,<=1,,,,,,<=4,,,,,,,,,
401441,53139EM,40118,E. coli non-hemolytic,E. Coli,4,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
389076,509BQ,40119,Escherichia coli,E. Coli,128,R,16,R,,,,,,,,,,,32,,,,,,>128,R,,,,,256,R,>32,,,,,,>32,R,,,,,,,,
350220,699BQ,40120,Escherichia coli,E. Coli,4,S,4,S,,,,,,,,,,,<=4,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
392006,787BQ,40121,Enterococcus faecalis,Enterococci,<=2,,<=2,,,,,,,,,,,,128,,,,,,<=16,,,,,,64,,<=1,,,,,,>32,,,,,,,,,
355229,998BQ,40122,E. coli non-hemolytic,E. Coli,4,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
402984,607BQ,40130,Enterobacter cloacae,Enterobacteriaceae,64,,64,,,,,,,,,,,,128,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
403103,1598BQ,40130,E. coli non-hemolytic,E. Coli,>256,R,64,R,,,,,,,,,,,>512,,,,,,>128,R,,,,,256,R,16,,,,,,>32,R,,,,,,,,
402888,53307EM,40132,Staph. pseudintermedius,Staphylococcus,<=2,,<=2,,,,,,,,,,,,<=4,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
402847,1721BQ,40133,Kleb. pneumoniae ss pneumoniae,Klebsiella,8,,<=2,,,,,,,,,,,,<=4,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
401017,1812BQ,40133,Staph. pseudintermedius,Staphylococcus,<=2,,<=2,,,,,,,,,,,,<=4,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
403061,1922BQ,40134,E. coli non-hemolytic,E. Coli,128,R,8,S,,,,,,,,,,,<=4,,,,,,<=16,Invalid,,,,,<=2,S,32,,,,,,<=4,R,,,,,,,,
403112,53167EM,40137,E. coli hemolytic,E. Coli,<=2,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,4,S,<=1,,,,,,<=4,R,,,,,,,,
402655,53400EM,40140,Enterococcus faecalis,Enterococci,<=2,,<=2,,,,,,,,,,,,128,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
402610,53450EM,40144,E. coli hemolytic,E. Coli,8,S,8,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,4,S,<=1,,,,,,<=4,R,,,,,,,,
402567,53474EM,40147,E. coli non-hemolytic,E. Coli,4,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
390737,2802BQ,40147,Klebsiella pneumoniae,Klebsiella,32,,<=2,,,,,,,,,,,,<=4,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
402687,3087BQ,40149,Escherichia coli haemolytic,E. Coli,4,S,8,S,,,,,,,,,,,8,,,,,,32,R,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
402796,3049BQ,40149,Escherichia coli,E. Coli,256,R,8,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
402582,53498EM,40151,Pseudomonas aeruginosa,Pseudomonas,>256,,256,,,,,,,,,,,,>512,,,,,,64,,,,,,16,,<=1,,,,,,8,,,,,,,,,
391010,3847BQ,40157,Pseudomonas aeruginosa,Pseudomonas,>256,,>256,,,,,,,,,,,,>512,,,,,,64,,,,,,32,,<=1,,,,,,8,,,,,,,,,
399623,4136BQ,40161,Enterococcus faecalis,Enterococci,<=2,,<=2,,,,,,,,,,,,128,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
403786,4168BQ,40162,Escherichia coli,E. Coli,4,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
376890,4224BQ,40162,Escherichia coli,E. Coli,128,R,32,R,,,,,,,,,,,256,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
402912,53680EM,40162,Escherichia coli,E. Coli,>256,R,16,R,,,,,,,,,,,512,,,,,,<=16,Invalid,,,,,256,R,>32,,,,,,>32,R,,,,,,,,
404215,53936EM,40180,Proteus mirabilis,Proteus,<=2,,<=2,,,,,,,,,,,,8,,,,,,<=16,,,,,,64,,,,,,,,<=4,,,,,,,,,
404153,53960EM,40181,E. coli hemolytic,E. Coli,>256,R,8,S,,,,,,,,,,,<=4,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,>32,R,,,,,,,,
392219,5261BQ,40182,Enterococcus faecium,Enterococci,256,,128,,,,,,,,,,,,>512,,,,,,<=16,,,,,,128,,16,,,,,,>32,,,,,,,,,
377491,5280BQ,40182,E. coli hemolytic,E. Coli,256,R,32,R,,,,,,,,,,,256,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
403681,5725BQ,40185,E. coli hemolytic,E. Coli,<=2,S,<=2,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
403754,5657BQ,40185,E. coli non-hemolytic,E. Coli,>256,R,8,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,>32,R,,,,,,,,
403997,6002BQ,40189,E. coli non-hemolytic,E. Coli,4,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
348923,54051EM,40189,E. coli non-hemolytic,E. Coli,<=2,S,4,S,,,,,,,,,,,<=4,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
403860,6046BQ,40189,Enterococcus faecium,Enterococci,64,,32,,,,,,,,,,,,>512,,,,,,<=16,,,,,,64,,4,,,,,,<=4,,,,,,,,,
337881,6037BQ,40189,Escherichia coli,E. Coli,4,S,4,S,,,,,,,,,,,<=4,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
347668,6277BQ,40191,Serratia marcescens,Serratia,16,,64,,,,,,,,,,,,128,,,,,,<=16,,,,,,32,,<=1,,,,,,<=4,,,,,,,,,
379504,54065EM,40191,Klebsiella pneumoniae,Klebsiella,8,,<=2,,,,,,,,,,,,<=4,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
363014,6674BQ,40197,E. coli non-hemolytic,E. Coli,256,R,64,R,,,,,,,,,,,512,,,,,,<=16,Invalid,,,,,4,S,<=1,,,,,,<=4,R,,,,,,,,
382800,6747BQ,40198,E. coli non-hemolytic,E. Coli,>256,R,64,R,,,,,,,,,,,>512,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
