Patient ID,Visit#.x,Date of Test.x,Organism,Organism Group,Ampicillin,Ampicillin_RSI,Breed,Sex (0 = female; 1 = male),Neuter status (0 = castrated; 1 = not castrated),Age,Weight (kg),Color (0 = yellow/dark yellow/amber; 1 = straw; 2 = red/pink; 3 = brown/light & dark brown; 4 = other),Clarity (0 = clear; 1 = opaque/cloudy; 2 = SLhazy; 3 = hazy),USG,PH,Protein,Glucose,Ketones,Creatinine,Bilirubin...19,Hemoprotein,Sediment Vol,Volume,Lipid Layer,WBC (simplified),Pyuria (1 if >/=4),RBC (simplified),Crystals (0 = none 1 = rare; 2 = few; 3 = mod; 4 = many),Unknown,Amorphous,Phosphate,CaOx,Oxalate,Triple Phos,Ca Phos,Bilirubin...35,Struvite,Ca Carbonate,Ammonium biurate,Ammonium Urate,Tyrosine,Uric acid,Cholesterol,Cystine,Starch,Na urate,Urate,Biurate,Hemoglobin,Talcom,Epithelial Cells-Transitional,Epithelial Cells-Squamous,Epithelial Cells-Renal,Epithelial Cells-Caudate,Casts-Hyaline,Casts-Granular,Casts-Waxy,Casts-Cellular,Bacteria quantity,Bac Type,Lipid Droplets,Sperm,Growth (0 = growth),1st Organism Grown,Amount (organism/mL)...64,2nd Organism Grown,Amount (organism/mL)...66,3rd Organism Grown,Amount (organism/mL)...68,Underlying conditions (no = 0; yes = 1),Number of vet visits,Hospitalization (no = 0; yes = 1),Duration of hospitalization (days),U-cath placement (no = 0; yes = 1),Duration of U-cath placement (days),Antimicrobial therapy (no = 0; yes = 1),Duration of therapy (days),Antimicrobial class
372087,5721DE,43622,E. coli hemolytic,E. Coli,8,S,K9-LAB,0,0,13.4,26,0,2,1.036,7,25,0,0,0,0,0,0,4.5,1,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,Hemolytic E. Coli,7 x 10^2,,,,,0,0,0,0,0,0,0,0,
372791,834DJ,44014,E. coli hemolytic,E. Coli,>8,R,K9-GOLD RET,0,0,9.6,29,0,3,1.015,5,15,0,0,0,0,25,0,4,1,10,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^4,,,,,0,4,0,0,0,0,0,0,
375307,4098CR,42558,E. coli non-hemolytic,E. Coli,8,S,K9-LAB,0,0,9.4,35.3,0,2,1.02,8,0,0,0,0,0,0,0,5,0,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,2,0,0,E. Coli,1 x 10^5,,,,,0,1,0,0,0,0,0,0,
375843,4892CS,42646,Staph. pseudintermedius,Staphylococcus,<=0.25,,K9-J R TER,0,0,10.1,5.2,0,1,1.028,8,0,0,0,0,0,50,0,5,1,3,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,Staphylococcus Pseudintermedius,8 x 10^2,Corynebacterium,1 x 10^2,,,1,1,1,4,0,0,0,0,
375850,1944CV,42874,E. coli hemolytic,E. Coli,4,S,K9-X,1,0,11.1,11.4,0,3,1.05,7,25,0,0,0,0,250,0,5,1,3,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,Hemolytic E. Coli,1 x 10^5,Enterococcus Faecalis,1 x 10^5,,,1,2,1,10,1,7,0,0,
376375,7792DC,43489,E. coli hemolytic,E. Coli,4,S,K9-MALINOIS,0,0,7.3,26.5,0,3,1.027,7,25,0,0,0,0,10,0,5,1,50,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,,,,,0,0,0,0,0,0,0,0,
376765,2407CQ,42472,Staph intermedius group,Staphylococcus,<=0.25,,K9-DACH,0,0,9.9,12.6,0,3,1.026,8,75,0,0,0,0,250,0,5,1,100,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,Staphylococcus Intermedius group,>1 x 10^5,,,,,0,0,0,0,0,0,0,0,
376803,2074CY,43122,Streptococcus canis,Streptococcus,,,K9-B FRISE,0,0,9.3,7.7,0,2,1.021,7,150,0,0,0,0,250,0,5,1,10,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,Streptococcus Canis,1 x 10^3,,,,,1,0,0,0,0,0,0,0,
378366,530CS,42611,Proteus mirabilis,Proteus,1,,K9-LAB,0,0,7.4,31.2,0,3,1.013,7,0,0,0,0,0,150,0,4.5,1,100,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,Proteus Mirabilis,1 x 10^3,,,1,0,0,0,0,0,0,0,
379487,8156DF,43716,E. coli non-hemolytic,E. Coli,>8,R,K9-LAB,0,0,10.7,38.5,1,2,1.005,8,0,0,0,0,0,0,0,5,0,50,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,E. Coli,>1 x 10^5,,,,,0,0,0,0,0,0,0,0,
380119,6865CV,42913,Mycoplasma Sp.,Mycoplasma,,,K9-BULLDOG,0,0,11.6,33.6,0,1,1.022,7,150,0,5,0,3,250,0,5,1,10,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0,Mycoplasma,1 x 10^5,,,,,1,0,0,0,0,0,0,0,
380564,9949CO,42374,E. coli non-hemolytic,E. Coli,>1,Invalid,K9-X,0,0,8.9,37.5,0,3,1.006,7,150,0,0,0,0,250,0,5,1,20,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,E. Coli,1 x 10^5,,,0,0,0,0,0,0,0,0,
380564,6842CH,41788,E. coli hemolytic,E. Coli,4,S,K9-X,0,0,8.9,37.5,0,3,1.006,7,150,0,0,0,0,250,0,5,1,20,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,E. Coli,1 x 10^5,,,0,0,0,0,0,0,0,0,
383401,2598CP,42396,E. coli non-hemolytic,E. Coli,>1,Invalid,K9-X,1,1,17.1,21,0,1,1.013,6,25,0,0,0,0,10,0,5,0,100,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,E. Coli,1 x 10^5,,,,,1,0,0,0,0,0,0,0,
385788,3391CS,42634,Strep. bovis-eq cmplx,Streptococcus,<=0.25,,K9-BASSET,0,0,12.7,18.9,0,1,1.011,6,0,0,0,0,0,250,0,1.5,1,50,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,Streptococcus Bovis-Equinus Complex,1 x 10^5,,,0,1,1,9,0,0,1,60,Sulfonamide/Folic Acid Inhibitor
386001,79019EM,43198,Streptococcus canis,Streptococcus,,,K9-X,0,0,15.3,13.4,0,1,1.033,6,75,0,0,0,1,250,0.3,5,1,3,0,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2,2,0,0,Streptococcus Canis,1.5 x 10^3,,,,,1,1,1,3,0,0,1,14,Penicillin
386817,73207EM,42377,Enterobacter cloacae,Enterobacteriaceae,>1,,K9-AUS SHEP,1,0,9.7,35,0,0,1.006,8,25,0,0,0,0,250,0,4.5,1,10,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,Enterobacter Cloacae,1 x 10^4,,,,,0,0,1,1,0,0,0,0,
387453,5980CU,42830,Klebsiella pneumoniae,Klebsiella,>8,,K9-CLUM SPAN,0,0,3.3,24,1,3,1.005,8,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,0,Klebsiella Pneumoniae,>1 x 10^5,,,,,1,0,0,0,0,0,0,0,
388138,5972DD,43551,E. coli hemolytic,E. Coli,2,S,K9-VIZSLA,0,0,2.9,20.3,0,1,1.021,7,150,0,0,0,0,50,0,5,0,100,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,,,,,1,0,0,0,0,0,0,0,
389365,3491DE,43607,E. coli non-hemolytic,E. Coli,4,S,K9-DOBIE,1,0,3.3,36,0,0,1.01,6,0,0,0,0,0,50,0,5,1,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,0,E. Coli,1 x 10^5,,,,,0,1,1,2,0,0,0,0,
389391,1674CM,42150,E. coli hemolytic,E. Coli,4,S,K9-MIN POOD,0,0,9.4,8.2,0,3,1.007,7,25,0,0,0,0,250,0,4.5,0,10,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,Hemolytic E. Coli,1 x 10^5,,,,,1,1,1,5,0,0,0,0,
390039,6380CM,42182,E. coli non-hemolytic,E. Coli,4,S,K9-C H DOG,0,0,12.1,24,0,3,1.015,8,75,0,0,0,0,250,0,5,0,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,0,0,E. Coli,1 x 10^4,,,,,0,0,0,0,0,0,0,0,
390283,2565DD,43524,E. coli hemolytic,E. Coli,2,S,K9-B FRISE,0,0,9.1,6.1,0,3,1.017,6,150,0,0,0,0,10,0,5,1,50,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,1,0,0,Hemolytic E. Coli,1 x 10^5,,,,,1,2,0,0,0,0,1,3,Penicillin
391791,491138M,42818,E. coli non-hemolytic,E. Coli,4,S,K9-PIT BULL TERRIER,1,1,10.2,,0,3,1.017,5,0,0,0,0,0,50,0,3,1,3,0,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,2,2,0,0,E. Coli,1 x 10^3,Streptococcus Canis,1 x 10^3,,,0,0,0,0,0,0,0,0,
392380,5027DJ,44050,E. coli hemolytic,E. Coli,4,S,K9-GRIFF,1,0,1.7,21.9,0,2,1.022,8,15,0,0,0,0,0,0,3.5,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,1,0,0,Hemolytic E. Coli,1 x 10^5,,,,,0,2,0,0,0,0,1,5,Penicillin
392655,4648CU,42819,E. coli non-hemolytic,E. Coli,>8,R,K9-GOLD RET,1,0,7.9,34.2,0,3,1.01,8,25,0,0,0,0,250,0,3.5,0,10,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,E. Coli,>1 x 10^5,,,,,0,0,0,0,0,0,0,0,
393291,6536DK,44147,E. coli hemolytic,E. Coli,4,S,K9-X,1,0,11.9,33.5,0,1,1.032,8,100,0,15,0,3,250,0,4.5,1,100,1,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,2,0,0,Hemolytic E. Coli,1 x 10^3,,,,,0,0,0,0,0,0,0,0,
393776,9472DF,43726,E. coli hemolytic,E. Coli,2,S,K9-B FRISE,1,1,6,6.1,0,1,1.044,6,100,0,50,0,6,150,0,3,0,100,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Hemolytic E. Coli,1 x 10^3,,,,,0,0,0,0,0,0,0,0,
394704,6479DG,43777,Staph. schleiferi ss coagulans,Staphylococcus,<=0.25,,K9-B FRISE,1,0,15.9,6.5,0,2,1.011,6,100,0,0,0,0,25,0,5,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,Staphylococcus Schleiferi ss Coagulans,1 x 10^5,,,,,1,1,1,12,0,0,0,0,
395000,77681EM,43042,E. coli hemolytic,E. Coli,>8,R,K9-DACH,0,0,17.9,4,0,3,1.011,6,75,0,0,0,0,50,0,4.5,0,50,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,Hemolytic E. Coli,>1 x 10^5,,,,,1,1,1,3,0,0,0,0,
395035,3682CZ,43214,Strep. bovis-eq cmplx,Streptococcus,<=0.25,,K9-WHIPPET,0,0,6.8,11.8,0,3,1.032,7,500,0,0,0,0,250,0,1.5,1,3,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,1,2,0,0,Streptococcus Bovis-Equinus Complex,1 x 10^5,,,,,0,0,0,0,0,0,1,10,Fluoroquinolone
395336,1192CZ,43194,E. coli hemolytic,E. Coli,2,S,K9-WEIMARANER,1,1,9.5,34.4,0,3,1.012,8,25,0,0,0,0,150,0,5,1,50,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,,,,,0,6,1,1,0,0,0,0,
398039,2925DB,43367,Staph. pseudintermedius,Staphylococcus,<=0.25,,K9-BOXER,1,0,9.1,33,0,3,1.01,7,75,0,0,0,0,150,0,5,0,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,Hemolytic E. Coli,1 x 10^5,Staphylococcus Pseudintermedius,1 x 10^3,,,1,2,1,13,0,0,0,0,
398134,5906DB,43390,E. coli hemolytic,E. Coli,>8,R,K9-PIT BULL TERRIER,1,0,8.1,43.4,0,3,1.018,7,25,0,0,0,0,50,0,5,1,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,2,0,0,Hemolytic E. Coli,1 x 10^5,,,,,1,0,0,0,0,0,1,17,Chloramphenicol & Nitroimidazole
398213,1132CH,41745,Staph. pseudintermedius,Staphylococcus,<=0.25,,K9-X,0,0,9,5.9,0,2,1.022,6,0,0,0,0,0,10,0,5,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,Enterococcus Faecalis,1 x 10^4,,,,,0,0,0,0,0,0,0,0,
398213,2164CP,42394,Enterococcus faecalis,Enterococci,1,,K9-X,0,0,9,5.9,0,2,1.022,6,0,0,0,0,0,10,0,5,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,Enterococcus Faecalis,1 x 10^4,,,,,0,0,0,0,0,0,0,0,
398650,5273DB,43384,Citrobacter koseri,Citrobacter,>8,,K9-NORF TERR,0,0,10.3,5.7,0,1,1.018,6,150,1000,150,0,0,150,0,5,1,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,3,2,2,0,0,Citrobacter Koseri,1 x 10^5,,,,,1,1,1,5,0,0,0,0,
399066,3743CS,42636,E. coli non-hemolytic,E. Coli,4,S,K9-DALM,1,0,4,28.8,4,1,1.022,5,150,0,0,0,1,250,0,5,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,2,0,0,E. Coli,>1 x 10^5,E. Coli (2nd type),3 x 10^2,,,1,1,0,0,0,0,0,0,
399692,2779DC,43445,E. coli hemolytic,E. Coli,4,S,K9-X,0,0,5.6,30.5,0,2,1.005,6,0,0,0,0,0,50,0,5,1,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,Hemolytic E. Coli,1 x 10^3,,,,,0,1,1,1,0,0,0,0,
400383,1574CP,42389,E. coli hemolytic,E. Coli,>1,Invalid,K9-ROTT,0,0,6.5,45.4,1,2,1.003,8,0,0,0,0,0,250,0,4.5,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,0,Hemolytic E. Coli,1 x 10^5,,,,,1,0,0,0,0,0,1,14,Cephalosporin
400383,1012CI,41820,Enterococcus faecalis,Enterococci,1,,K9-ROTT,0,0,6.5,45.4,1,2,1.003,8,0,0,0,0,0,250,0,4.5,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,0,Hemolytic E. Coli,1 x 10^5,,,,,1,0,0,0,0,0,1,14,Cephalosporin
401177,7291DA,43323,Escherichia coli haemolytic,E. Coli,4,S,K9-GSHP,0,0,9.6,23.8,0,3,1.045,6,75,0,0,0,0,250,0,5,0,100,1,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,0,Hemolytic E. Coli,1 x 10^4,,,,,0,1,0,0,0,0,0,0,
401204,6991CU,42837,E. coli non-hemolytic,E. Coli,>8,R,K9-X,0,0,15.6,36.4,0,3,1.01,7,75,0,0,0,0,50,0,4.5,0,10,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,E. Coli,>1 x 10^5,,,,,1,0,0,0,0,0,1,21,Penicillin
401525,7627CT,42761,Staph. pseudintermedius,Staphylococcus,<=0.25,,K9-LHASA,0,0,11.1,9.2,3,1,1.031,9,150,0,5,0,0,250,0,4,1,100,1,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,2,0,0,Staphylococcus Pseudintermedius,1 x 10^5,,,,,0,0,0,0,0,0,0,0,
401703,3816CP,42405,E. coli non-hemolytic,E. Coli,>1,Invalid,K9-LAB,1,0,12.1,36.2,0,2,1.013,8,150,0,0,0,0,10,0,4,1,20,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,E. Coli,1 x 10^5,,,,,1,1,0,0,0,0,0,0,
402146,1796CQ,42467,E. coli non-hemolytic,E. Coli,4,S,K9-AUS SHEP,0,0,3.8,24.7,0,1,1.034,7,150,0,0,0,1,150,0.2,5,0,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,E. Coli,1 x 10^5,,,,,0,1,0,0,0,0,0,0,
402301,7135DH,43868,E. coli hemolytic,E. Coli,>8,R,K9-WEIMARANER,0,0,5.3,35,0,3,1.011,6,15,0,0,0,0,25,0,5,0,20,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,1,0,0,Hemolytic E. Coli,1 x 10^5,,,,,0,0,0,0,0,0,0,0,
405127,8326CY,43172,E. coli non-hemolytic,E. Coli,>8,R,K9-BOXER,0,0,2.2,25.6,0,2,1.007,8,25,0,0,0,0,0,0,4,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,E. Coli,1 x 10^5,,,,,1,0,0,0,0,0,0,0,
405241,9990CS,42689,Enterococcus gallinarum,Enterococci,1,,K9-PUG,1,0,9.9,13.3,2,1,1.013,8,75,0,0,0,0,250,0,5,0,100,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Enterococcus Galinarum,>1 x 10^5,Proteus Mirabilis,>1 x 10^5,,,1,0,0,0,0,0,1,25,Fluoroquinolone & Sulfonamide/Folic Acid Inhibitor
405283,7980CS,42673,E. coli hemolytic,E. Coli,1,S,K9-FR BULL,0,0,7.6,10.3,0,1,1.035,8,75,0,0,0,0,150,0,3.5,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,Hemolytic E. Coli,1 x 10^4,,,,,0,1,0,0,0,0,0,0,
